profile,kind,angle,F_peak_geo,t_peak_R,t_span_R,c15_rel,g3_map_rel
mission_sgr_flyby_eta0.24,mission,side,0.04535915878119018,0.0,1.0445156346522045e+18,0.0,0.0
mission_sgr_flyby_eta0.24,mission,depart,0.09071831756238036,0.0,1.2904946269393055e+18,0.0,0.0
mission_sgr_flyby_eta0.5,mission,dest,0.0,0.0,2.8630808778056474e+17,4.287293576118017e-16,0.0
mission_sgr_flyby_eta0.5,mission,side,0.04535915878119018,0.0,5.322870800676655e+17,4.287293576118017e-16,0.0
mission_sgr_flyby_eta0.5,mission,depart,0.09071831756238036,0.0,7.782660723547663e+17,4.287293576118017e-16,1.6446817424883483e-16
mission_sgr_flyby_eta1.0,mission,dest,0.0,0.0,7.700010407743042e+16,0.0,0.0
mission_sgr_flyby_eta1.0,mission,side,0.04535915878119018,0.0,3.229790963645312e+17,0.0,0.0
mission_sgr_flyby_eta1.0,mission,depart,0.09071831756238036,0.0,5.68958088651632e+17,0.0,0.0
mission_sgr_flyby_eta12.0,mission,dest,0.0,0.0,18572081.082794257,1.1102230246251568e-16,2.005855069151694e-16
mission_sgr_flyby_eta12.0,mission,side,0.04535915878119018,0.0,2.4597899230567283e+17,1.1102230246251568e-16,1.3009241033166882e-16
mission_sgr_flyby_eta12.0,mission,depart,0.09071831756238036,0.0,4.9195798459277357e+17,1.1102230246251568e-16,0.0
mission_sgr_flyby_eta2.0,mission,dest,0.0,0.0,9178637402036878.0,1.1129818307607449e-16,0.0
mission_sgr_flyby_eta2.0,mission,side,0.04535915878119018,0.0,2.5515762968913773e+17,1.1129818307607449e-16,0.0
mission_sgr_flyby_eta2.0,mission,depart,0.09071831756238036,0.0,5.011366219762386e+17,1.1129818307607449e-16,1.2770968473151133e-16
mission_sgr_flyby_eta3.0,mission,dest,0.0,0.0,1222472130546207.0,2.220720107883758e-16,0.0
mission_sgr_flyby_eta3.0,mission,side,0.04535915878119018,0.0,2.4720146441764698e+17,2.220720107883758e-16,0.0
mission_sgr_flyby_eta3.0,mission,depart,0.09071831756238036,0.0,4.9318045670474784e+17,2.220720107883758e-16,0.0
mission_sgr_flyby_eta5.0,mission,dest,0.0,0.0,22335871992787.203,3.33067009273518e-16,0.0
mission_sgr_flyby_eta5.0,mission,side,0.04535915878119018,0.0,2.4600132815909357e+17,3.33067009273518e-16,0.0
mission_sgr_flyby_eta5.0,mission,depart,0.09071831756238036,0.0,4.9198032044619437e+17,3.33067009273518e-16,0.0
mission_sgr_flyby_eta8.0,mission,dest,0.0,0.0,55362583984.09004,1.110223024667069e-16,1.3780777525562239e-16
mission_sgr_flyby_eta8.0,mission,side,0.04535915878119018,0.0,2.4597904764968477e+17,1.110223024667069e-16,1.3009238106155018e-16
mission_sgr_flyby_eta8.0,mission,depart,0.09071831756238036,0.0,4.9195803993678554e+17,1.110223024667069e-16,0.0
mission_sgr_roundtrip_eta0.1,mission,dest,0.10025924630669401,2.2220047693276861e+18,4.935967523229573e+18,0.0,0.0
mission_sgr_roundtrip_eta0.1,mission,side,0.04535915878119018,0.0,4.935967523229574e+18,0.0,2.0745679447461253e-16
mission_sgr_roundtrip_eta0.1,mission,depart,0.09071831756238036,0.0,4.935967523229573e+18,0.0,0.0
mission_sgr_roundtrip_eta0.24,mission,dest,0.11532558411976335,7.985366423651039e+17,2.0890312693044093e+18,4.705006523849998e-16,1.2254483873055717e-16
mission_sgr_roundtrip_eta0.24,mission,side,0.04535915878119018,0.0,2.089031269304409e+18,4.705006523849998e-16,0.0
mission_sgr_roundtrip_eta0.24,mission,depart,0.09071831756238036,0.0,2.0890312693044093e+18,4.705006523849998e-16,1.2254483873055717e-16
mission_sgr_roundtrip_eta0.5,mission,dest,0.14956921980722548,2.8630808778056474e+17,1.0645741601353311e+18,5.564909153803724e-16,1.2023586969622516e-16
